ddc_class	classname
076	Journalismus und Zeitungen auf der Iberischen Halbinsel und benachbarten Inseln
077	Journalismus und Zeitungen in Osteuropa; in Russland
078	Journalismus und Zeitungen in Skandinavien
079	Journalismus und Zeitungen in anderen geografischen Gebieten
080	Allgemeine Sammelwerke, Zitatensammlungen
081	Sammelwerke in amerikanischem Englisch
082	Sammelwerke in Englisch
083	Sammelwerke in Deutsch und Niederländisch
084	Sammelwerke in Französisch, Okzitanisch und Katalanisch
085	Sammelwerke in Italienisch, Rumänisch und Rätoromanisch
086	Sammelwerke in Spanisch und Portugiesisch
087	Sammelwerke in slawischen Sprachen
088	Sammelwerke in skandinavischen Sprachen
089	Sammelwerke in anderen Sprachen
090	Handschriften, seltene Bücher
091	Handschriften
092	Blockbücher
093	Inkunabeln
094	Gedruckte Bücher
095	Bücher mit besonderem Einband
096	Bücher mit besonderen Illustrationen
097	Bücher aus besonderem Besitz oder besonderer Herkunft
098	Verbotene Werke, Fälschungen, Scherzdrucke
099	Bücher mit besonderem Format
100	Philosophie und Psychologie
101	Theorie der Philosophie
102	Verschiedenes
103	Wörterbücher, Enzyklopädien
104	[Unbesetzt]
105	Fortlaufende Sammelwerke
106	Organisationen, Management
107	Ausbildung, Forschung, verwandte Themen
108	Behandlung nach Personengruppen
109	Histor. Behandlung, Behandlung mehrerer Einzelpersonen
110	Metaphysik
111	Ontologie
112	[Unbesetzt]
113	Kosmologie
114	Raum
115	Zeit
116	Veränderung
117	Struktur
118	Kraft und Energie
119	Zahl und Quantität
120	Epistemologie, Kausalität, Menschheit
121	Epistemologie
122	Kausalität
123	Determinismus, Indeterminismus
124	Teleologie
125	[Unbesetzt]
126	Das Selbst
127	Das Unbewusste, das Unterbewusste
128	Menschheit
129	Ursprung und Schicksal individueller Seelen
130	Parapsychologie und Okkultismus
131	Parapsychologische und okkulte Techniken
132	[Unbesetzt]
133	Einzelne Themen der Parapsychologie und des Okkultismus
134	[Unbesetzt]
135	Träume, Mysterien
136	[Unbesetzt]
137	Divinatorische Graphologie
138	Physiognomie
139	Phrenologie
140	Einzelne philosophische Schulen
141	Idealismus und verwandte Systeme
142	Kritizismus
143	Bergsonismus, Intuitionismus
144	Humanismus und verwandte Systeme
145	Sensualismus
146	Naturalismus und verwandte Systeme
147	Pantheismus und verwandte Systeme
148	Eklektizismus, Liberalismus, Traditionalismus
