ddc_class	classname
720	Architektur
721	Architektonische Struktur
722	Architektur bis ca. 300
723	Architektur von ca. 300 bis 1399
724	Architektur ab 1400
725	Öffentliche Bauwerke
726	Gebäude für religiöse und verwandte Zwecke
727	Gebäude für Lehr- und Forschungszwecke
728	Wohnbauten und verwandte Gebäude
729	Entwurf und Gestaltung, Innenarchitektur
730	Plastische Künste; Bildhauerkunst
731	Verfahren, Formen und Motive in der Bildhauerkunst
732	Bildhauerei bis ca. 500
733	Griechische, etruskische, römische Bildhauerkunst
734	Bildhauerkunst von ca. 500 bis 1399
735	Bildhauerkunst ab 1400
736	Schnitzen, Schnitzereien
737	Numismatik, Siegelkunde
738	Keramikkunst
739	Metallkunst
740	Zeichnung, angewandte Kunst
741	Zeichnung, Zeichnungen
742	Perspektive
743	Zeichnung und Zeichnungen nach Motiv
744	[Unbesetzt]
745	Angewandte Kunst
746	Textilkunst
747	Innendekoration
748	Glas
749	Möbel, Möbelzubehör
750	Malerei, Gemälde
751	Techniken, Ausstattung, Materialien, Formen
752	Farbe
753	Symbolik, Allegorie, Mythologie, Legende
754	Genremalerei
755	Religion
756	[Unbesetzt]
757	Menschliche Figuren
758	Andere Motive
759	Histor., geogr., personenbezogene Behandlung
760	Grafik; Druckgrafik, Drucke
761	Hochdruckverfahren (Blockdruck)
762	[Unbesetzt]
763	Lithografische Druckverfahren
764	Farblithografie, Serigrafie
765	Metallgravur
766	Mezzotinto, Aquatinta und verwandte Techniken
767	Radierung, Kaltnadelarbeit
768	[Unbesetzt]
769	Drucke
770	Fotografie, Fotografien, Computerkunst
771	Techniken, Ausstattung, Materialien
772	Entwicklungsverfahren mit Metallsalzen
773	Pigmentdruckverfahren
774	Holografie
775	Digitale Fotografie
776	Computerkunst (Digitale Kunst)
777	[Unbesetzt]
778	Bereiche und Arten der Fotografie
779	Fotografien
780	Musik
781	Allgemeine Prinzipien, musikalische Formen
782	Vokalmusik
783	Musik für Einzelstimmen; die Stimme
784	Instrumente, Instrumentalensembles
785	Ensembles mit einem Instrument pro Stimme
786	Tasteninstrumente, andere Instrumente
787	Saiteninstrumente
788	Blasinstrumente
789	(Optionale Notation)
790	Freizeitgestaltung, darstellende Künste, Sport
791	Öffentliche Darbietungen, Film, Rundfunk
792	Bühnenkunst
793	Spiele und Freizeitaktivitäten für drinnen
794	Unterhaltungsspiele für drinnen
795	Glücksspiele
796	Sportarten, Sportspiele
797	Wasser- und Luftsport
798	Pferdesport, Tierrennen
799	Fischfang, Jagd, Schießen
800	Literatur und Rhetorik
801	Literaturtheorie
802	Verschiedenes
803	Wörterbücher, Enzyklopädien
804	[Unbesetzt]
805	Fortlaufende Sammelwerke
806	Organisationen, Management
807	Ausbildung, Forschung, verwandte Themen
808	Rhetorik, Sammlungen von Literatur
809	Geschichte, Darstellung, Literaturwissenschaft und –k ritik
810	Amerikanische Literatur in in Englisch
811	Amerikanische Versdichtung
812	Amerikanische Dramen
813	Amerikanische Erzählprosa
814	Amerikanische Essays
815	Amerikanische Reden
816	Amerikanische Briefe
817	Amerikanischer Humor, amerikanische Satire
818	Amerikanische vermischte Schriften
819	(Optionale Notation)
820	Englische, altenglische Literaturen
821	Englische Versdichtung
822	Englische Dramen
823	Englische Erzählprosa
824	Englische Essays
825	Englische Reden
826	Englische Briefe
827	Englischer Humor, englische Satire
828	Englische vermischte Schriften
829	Altenglische (Angelsächsische) Literatur
830	Literaturen germanischer Sprachen; Deutsche Literatur
831	Deutsche Versdichtung
832	Deutsche Dramen
833	Deutsche Erzählprosa
834	Deutsche Essays
835	Deutsche Reden
836	Deutsche Briefe
837	Deutscher Humor, deutsche Satire
838	Deutsche vermischte Schriften
839	Andere germanische Literaturen
840	Literaturen romanischer Sprachen; Französische Literatur
841	Französische Versdichtung
842	Französische Dramen
843	Französische Erzählprosa
844	Französische Essays
845	Französische Reden
846	Französische Briefe
847	Französischer Humor, französische Satire
848	Französische vermischte Schriften
849	Okzitanische, katalanische Literaturen
850	Italienische, rumänische, rätoromanische Literaturen
851	Italienische Versdichtung
852	Italienische Dramen
853	Italienische Erzählprosa
854	Italienische Essays
855	Italienische Reden
856	Italienische Briefe
857	Italienischer Humor, italienische Satire
858	Italienische vermischte Schriften
859	Rumänische, rätoromanische Literaturen
860	Spanische, portugiesische Literaturen
861	Spanische Versdichtung
862	Spanische Dramen
863	Spanische Erzählprosa
864	Spanische Essays
865	Spanische Reden
866	Spanische Briefe
867	Spanischer Humor, spanische Satire
868	Spanische vermischte Schriften
869	Portugiesische Literatur
870	Italische Literaturen; Lateinische Literatur
871	Lateinische Versdichtung
872	Lateinische dramatische Versdichtung, Dramen
873	Lateinische erzählende Versdichtung, Erzählprosa
874	Lateinische lyrische Versdichtung
875	Lateinische Reden
876	Lateinische Briefe
877	Lateinischer Humor, lateinische Satire
878	Lateinische vermischte Schriften
879	Literaturen anderer italischer Sprachen
880	Hellenische Literaturen; Klassische griechische Literatur
881	Klassische griechische Versdichtung
882	Klassische griechische dramatische Versdichtung, Dramen
883	Klassische griechische erzählende Versdichtung, Erzählprosa
884	Klassische griechische lyrische Versdichtung
885	Klassische griechische Reden
886	Klassische griechische Briefe
887	Humor und Satire in klassischem Griechisch
888	Klassische griechische vermischte Schriften
889	Neugriechische Literatur
890	Literaturen anderer Sprachen
891	Ostindoeuropäische, keltische Literaturen
892	Afroasiatische Literaturen; Semitische Literaturen
893	Nichtsemitische afroasiatische Literaturen
894	Altaische, uralische, paläosibirische, drawidische Literaturen
895	Ost- und südostasiatische Literaturen
896	Afrikanische Literaturen
897	Literaturen nordamerikanischer Indianersprachen
898	Literaturen südamerikanischer Indianersprachen
899	Austronesische und andere Literaturen
900	Geschichte und Geografie
901	Geschichtsphilosophie, Geschichtstheorie
902	Verschiedenes
903	Wörterbücher, Enzyklopädien
904	Allgemeine Darstellungen von Ereignissen
905	Fortlaufende Sammelwerke
906	Organisationen, Management
907	Ausbildung, Forschung, verwandte Themen
908	Behandlung nach Personengruppen
909	Weltgeschichte
910	Geografie, Reisen
911	Historische Geografie
912	Atlanten, Karten, Grafiken, Pläne
913	Geografie der und Reisen in der Alten Welt
914	Geografie Europas und Reisen in Europa
915	Geografie Asiens und Reisen in Asien
916	Geografie Afrikas und Reisen in Afrika
917	Geografie Nordamerikas und Reisen in Nordamerika
918	Geografie Südamerikas und Reisen in Südamerika
919	Geografie anderer Gebiete und Reisen in anderen Gebieten
920	Biografien, Genealogie, Insignien
921	(Optionale Notation)
922	(Optionale Notation)
923	(Optionale Notation)
924	(Optionale Notation)
925	(Optionale Notation)
926	(Optionale Notation)
927	(Optionale Notation)
928	(Optionale Notation)
929	Genealogie, Namenkunde, Insignien
930	Geschichte des Altertums bis ca. 499, Archäologie
931	Geschichte Chinas bis 420
932	Geschichte Ägyptens bis 640
933	Geschichte Palästinas bis 70
934	Geschichte Indiens bis 647
935	Geschichte Mesopotamiens und der iranischen Hochebene bis 637
936	Geschichte Europas nördlich und westlich von Italien bis ca. 499
937	Geschichte Italiens und benachbarter Gebiete bis 476
938	Geschichte Griechenlands bis 323
939	Geschichte anderer Teile der Welt bis ca. 640
940	Geschichte Europas
941	Geschichte der Britischen Inseln
942	Geschichte Englands und Wales’
943	Geschichte Mitteleuropas; Deutschlands
944	Geschichte Frankreichs und Monacos
945	Geschichte der italienische Halbinsel und benachbarter Inseln
946	Geschichte der iberischen Halbinsel und benachbarter Inseln
947	Geschichte Osteuropas; Russlands
948	Geschichte Skandinaviens
949	Geschichte anderer Teile Europas
950	Geschichte Asiens; des Fernen Ostens
951	Geschichte Chinas und benachbarter Gebiete
952	Geschichte Japans
953	Geschichte der arabischen Halbinsel und benachbarter Gebiete
954	Geschichte Südasiens; Indiens
955	Geschichte Irans
956	Geschichte des Nahen Ostens (Mittleren Ostens)
957	Geschichte Sibiriens (der Asiatischen Russlands)
958	Geschichte Zentralasiens
959	Geschichte Südostasiens
960	Geschichte Afrikas
961	Geschichte Tunesiens und Libyens
962	Geschichte Ägyptens und Sudans
963	Geschichte Äthiopiens und Eritreas
964	Geschichte der nordwestafrikanischen Küste und vorgelagerter Inseln
965	Geschichte Algeriens
966	Geschichte Westafrikas und vorgelagerter Inseln
967	Geschichte Zentralafrikas und vorgelagerter Inseln
968	Geschichte Südafrikas; der Republik Südafrika
969	Geschichte der Inseln im südlichen Indischen Ozean
970	Geschichte Nordamerikas
971	Geschichte Kanadas
972	Geschichte Mittelamerikas; Mexikos
973	Geschichte der USA
974	Geschichte der nordöstlichen Staaten der USA
975	Geschichte der südöstlichen Staaten der USA
976	Geschichte der südlichen zentralen Staaten der USA
977	Geschichte der nördlichen zentralen Staaten der USA
978	Geschichte der westlichen Staaten der USA
979	Geschichte der Staaten des Großen Beckens und der pazifischen Gebirgsketten
980	Geschichte Südamerikas
981	Geschichte Brasiliens
982	Geschichte Argentiniens
983	Geschichte Chiles
984	Geschichte Boliviens
985	Geschichte Perus
986	Geschichte Kolumbiens und Ecuadors
987	Geschichte Venezuelas
988	Geschichte Guayanas
989	Geschichte Paraguays und Uruguays
990	Geschichte anderer Gebiete
991	[Unbesetzt]
992	[Unbesetzt]
993	Geschichte Neuseelands
994	Geschichte Australiens
995	Geschichte Melanesiens; Neuguineas
996	Geschichte anderer Teile des Pazifischen Ozeans; Polynesiens
997	Geschichte der atlantischen Inseln
998	Geschichte der arktischen Inseln und der Antarktis
999	Geschichte der außerirdischen Welten
